Location ID,Location,Value,Rank,Anomaly (1981-2010 base period),1981-2010 Mean
USW00013994,"St. Louis, Missouri",57.6,48,-0.1,57.7
USW00024033,"Billings, Montana",48.3,47,0.3,48
USW00094008,"Glasgow, Montana",44.5,49,0.5,44
USH00243751,"Great Falls, Montana",44.5,82,0.2,44.3
USW00024144,"Helena, Montana",46,61,0.9,45.1
USW00024153,"Missoula, Montana",46.1,54,0.6,45.5
USW00014935,"Grand Island, Nebraska",52.1,67,1.1,51
USW00014941,"Norfolk, Nebraska",50.1,64,1.2,48.9
USW00024023,"North Platte, Nebraska",50.6,62,1.2,49.4
USW00014942,"Omaha, Nebraska",52.6,51,0.5,52.1
USW00024028,"Scottsbluff, Nebraska",50.4,99,0.7,49.7
USW00023185,"Carson City, Nevada",55.6,71,1.4,54.2
USW00024121,"Elko, Nevada",49.3,94,2.2,47.1
USW00023154,"Ely, Nevada",46.5,69,1.1,45.4
USW00023169,"Las Vegas, Nevada",70.9,66,1.9,69
USH00266779,"Reno, Nevada",55.6,108,1.3,54.3
USW00014745,"Concord, New Hampshire",48.1,73,1.3,46.8
USW00093730,"Atlantic City, New Jersey",57.1,60,2.7,54.4
USW00023050,"Albuquerque, New Mexico",58.6,82,1.5,57.1
USH00297610,"Roswell, New Mexico",63.5,118,2,61.5
USH00300042,"Albany, New York",50.7,116,1.8,48.9
USW00004725,"Binghamton, New York",47.4,62,1.6,45.8
USH00301012,"Buffalo, New York",50.6,116,2.4,48.2
USH00305801,"New York, New York",56.6,119,1.8,54.8
USW00094728,"New York (Central Park), New York",56.6,119,1.8,54.8
USW00094789,"New York (JFK), New York",55.6,56,1.9,53.7
USW00014732,"New York (La Guardia), New York",57.9,75,2.1,55.8
USW00014771,"Syracuse, New York",48.9,72,1.6,47.3
USW00003812,"Asheville, North Carolina",58.6,60,2.3,56.3
USH00311458,"Cape Hatteras, North Carolina",66.7,121,2.6,64.1
USW00013881,"Charlotte, North Carolina",62.8,73,2,60.8
USW00013723,"Greensboro, North Carolina",60.2,80,1.3,58.9
USW00013722,"Raleigh, North Carolina",62.3,72,2.1,60.2
USW00013748,"Wilmington, North Carolina",66.1,71,2.3,63.8
USW00024011,"Bismarck, North Dakota",44.4,53,0.7,43.7
